"ano","mes","sigla_uf","saldo_movimentacao","id_municipio","cnae_2_secao","categoria","cnae_2_subclasse","cbo_2002","grau_instrucao","sexo","salario_mensal","indicador_trabalho_intermitente","indicador_trabalho_parcial","data","regiao"
2024,10,"TO","Desligados","1721208","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro de convés (marítimo e fluviário)","Fundamental Completo","Homem",1883.14,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Desligados","1722107","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro de convés (marítimo e fluviário)","Médio Completo","Homem",1883.14,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Desligados","1703909","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Motorista de caminhão (rotas regionais e internacionais)","Médio Completo","Homem",2781.22,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Desligados","1702158","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Operador de caixa","Médio Completo","Mulher",1412,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Desligados","1718303","H","101","Administração da infraestrutura portuária","Auxiliar de escritório","Médio Completo","Mulher",1900,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Desligados","1718865","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Operador de caixa","Médio Completo","Mulher",1412,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1722107","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro de convés (marítimo e fluviário)","Médio Completo","Homem",1883.14,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1716604","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro de convés (marítimo e fluviário)","Médio Completo","Homem",1883.14,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1716307","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Operador de caixa","Médio Completo","Mulher",1412,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1703909","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro auxiliar de convés (marítimo e aquaviario)","Médio Completo","Homem",1535.13,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1703909","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro auxiliar de convés (marítimo e aquaviario)","Médio Completo","Homem",1535.13,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1722107","H","101","Transporte por navegação de travessia intermunicipal, interestadual e internacional","Marinheiro de convés (marítimo e fluviário)","Fundamental Completo","Homem",1883.14,"Nao","Nao",2024-10-01,"Norte"
2024,10,"TO","Admitidos","1718303","H","101","Administração da infraestrutura portuária","Auxiliar de escritório","Médio Completo","Mulher",1900,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302603","H","101","Transporte marítimo de cabotagem - carga","Cozinheiro de embarcações","Fundamental Completo","Mulher",1320,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302603","H","101","Transporte marítimo de cabotagem - carga","Motorista de caminhão (rotas regionais e internacionais)","Médio Completo","Homem",2891.06,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302603","H","101","Transporte marítimo de cabotagem - carga","Auxiliar de contabilidade","Médio Completo","Homem",1669,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302603","H","101","Transporte por navegação interior de carga, municipal, exceto travessia","Piloto fluvial","Médio Completo","Homem",1425.06,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302603","H","101","Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia","Mecânico de manutenção de veículos ferroviários","Médio Completo","Homem",1680.15,"Nao","Nao",2024-10-01,"Norte"
2024,10,"AM","Desligados","1302504","H","101","Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia","Motorista de carro de passeio","Médio Completo","Homem",1432.52,"Nao","Nao",2024-10-01,"Norte"
